salesperson_id,product_id,state,city,latitude,longitude,shiptonumber,customer_id,company_id,source_id,price,metric,tons,mode_id,terms,ship_start,completed
4,2,MN,PIPESTONE,44.000526,-96.3175341,203400,45,34,558,184,$/st,24,2,FOB,Aug-17,yes
14,2,OK,FREDERICK,34.3920263,-99.0184093,101850,8,34,577,190,$/st,28,2,DEL,Aug-17,yes
5,2,TX,WINDTHORST,33.5762163,-98.4367186,202934,54,34,577,190,$/st,25,2,DEL,Aug-17,no
5,3,OK,SHATTUCK,36.2758728,-99.8812321,204218,132,34,560,180,$/st,27,2,DEL,Aug-17,no
5,2,TX,GREENVILLE,33.1384488,-96.1108066,203098,12,34,556,200,$/st,52,2,DEL,Aug-17,yes
2,3,CA,FIREBAUGH,36.8588376,-120.4560072,218691,440,34,602,185,$/st,27,2,FOB,Aug-17,no
3,3,NE,AINSWORTH,42.5499993,-99.8626236,100386,297,34,558,190,$/st,29,2,FOB,Aug-17,yes
3,2,NE,CULBERTSON,40.2297222,-100.838491,201965,121,34,558,204.6,$/st,60,2,FOB,Aug-17,yes
9,3,TX,SUNRAY,36.0167027,-101.824616,101844,704,34,560,180,$/st,26,2,FOB,Aug-17,no
2,3,AZ,WILLCOX,32.2528519,-109.8320124,215602,231,34,556,123.89,$/st,99,1,FOB,Aug-17,yes
8,2,CO,GREELEY,40.4233142,-104.7091322,217227,29,34,558,203,$/st,101,2,DEL,Aug-17,no
3,3,NE,HERSHEY,41.1586079,-101.002652,201567,218,34,564,178.92,$/st,24,2,FOB,Aug-17,no
3,3,CO,CHEYENNE WELLS,38.8213951,-102.3532435,214134,218,34,564,179.11,$/st,25,2,FOB,Aug-17,yes
13,3,SD,ABERDEEN,45.4646985,-98.4864829,100510,183,34,558,150,$/st,38,2,FOB,Aug-17,no
13,3,SD,ABERDEEN,45.4646985,-98.4864829,216717,183,34,558,150,$/st,38,2,FOB,Aug-17,no
