state,ship to county,ship to city,latitude,longitude,ship to number,ship to name,parent,nickname,nh3,uan,urea,an,truck,rail,unit train,rail line,barge,nh3storage,uanstorage,ureastorage,anstorage,nh32015,nh32016,nh32017,uan2015,uan2016,uan2017,urea2015,urea2016,urea2017,an2015,an2016,an2017
MN,SWIFT,CLONTARF,45.3763496,-95.6786506,100123,JOHNSON FERTILIZER SERVICE,100123,,no,yes,yes,no,yes,no,no,n/a,no,0,300,600,0,440.21,0,0,194.55,0,0,437.83,0,0,0,0,0
KS,PRATT,IUKA,37.7291841,-98.7350909,100129,KANZA COOP ASSOCIATION INC,100129,,no,yes,no,no,yes,no,no,n/a,no,0,30800,0,0,192.33,707.55,927.61,"21,361.73","23,687.22","3,221.21",0,0,0,0,0,0
NE,CUMING,WEST POINT,41.8416659,-96.7086432,100130,KAUP PRODUCE INC,100130,,yes,yes,no,no,yes,no,no,n/a,no,267.0275,10300,0,0,"1,547.57","1,280.25",456.32,"7,931.34","4,334.82","1,224.95",0,0,0,0,0,0
MI,OTSEGO,ELMIRA,45.0644549,-84.8561524,100139,KITCHEN FARMS INC,100139,,no,yes,no,no,yes,no,no,n/a,no,0,400,0,0,0,0,0,288.46,260.99,0,0,0,0,0,0,0
IN,PULASKI,WINAMAC,41.0514299,-86.6030648,100145,KOVA AG PRODUCTS INC,100145,,no,no,no,no,yes,no,no,n/a,no,0,0,0,0,20.65,0,197.29,0,0,0,0,0,0,0,0,0
IN,DECATUR,GREENSBURG,39.3372722,-85.483581,100146,KOVA FERTILIZER INC,100146,,no,yes,no,no,yes,no,no,n/a,no,0,900,0,0,543.58,510.09,38.43,706.35,334.73,616.14,0,0,0,0,0,0
MN,HENNEPIN,MINNEAPOLIS,44.9799654,-93.2638361,100163,ADM FERTILIZER,100163,,no,yes,yes,no,yes,no,no,n/a,no,0,1100,400,0,0,0,0,0,0,849.43,0,25.67,314.53,0,0,0
IA,BUENA VISTA,ALBERT CITY,42.7819199,-94.9485993,100165,AG PARTNERS LLC,100165,,no,yes,no,no,yes,no,no,n/a,no,0,5900,0,0,560.42,199.43,384.29,"3,184.08","4,532.05",460.79,0,0,0,0,0,0
IL,DE KALB,SANDWICH,41.6458634,-88.6217432,100168,AG TECH SERVICES INC,100168,,no,yes,no,no,yes,no,no,n/a,no,0,300,0,0,0,0,0,156.62,0,259.95,0,0,0,0,0,0
NE,FURNAS,EDISON,40.2772297,-99.7770633,100169,AG VALLEY COOP NON STOCK,100169,,yes,yes,yes,no,yes,yes,yes,ZHFT,no,65,53600,5200,0,468.64,324.44,0,"18,950.80","41,211.59","6,427.50",0,0,"3,981.29",0,0,0
KS,RUSSELL,RUSSELL,38.8952893,-98.8598061,100171,AGCO INC,100171,,no,yes,yes,no,yes,no,no,n/a,no,0,200,200,0,208.47,603.75,143.69,22.66,92.94,179.05,185.71,80.72,0,0,0,0
IA,CARROLL,GLIDDEN,42.0569297,-94.72887,100172,AGRI ASSOCIATES,100172,,no,yes,no,no,yes,no,no,n/a,no,0,4600,0,0,0,0,0,"2,953.57","3,576.45",0,0,0,0,0,0,0
